"Daily Invoicing Report",3/12/10,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,
,,,,,,,,
,,,,,,,,
"Posting Date: 07/01/09..02/28/10, Location Code: MAIN",,,,,,,,
"Invoice Number","Invoice Date","Bill-to Agency No.","Name","Agency County","Shipment Method Code","Shipping Agent Code","Gross Weight","Amount Including Tax"
"D09-02455-1",7/29/09,507,"Big Ruin Creek Baptist","VANCE","I-SHP","PKUP",770,96.9
"R09-04942-1",7/29/09,607,"Islamic Association of Raleigh","WAKE","I-TEFR","PKUP",798,0
"G09-01712-1",7/29/09,504,"River Of Life Christian/","LENOIR","I-SHP","PKUP",812,112.18
"R09-04928-1",7/29/09,814,"New Trinity Christian Family","JOHNSTON","I-SHP","PKUP",885,115.74
"W09-01110-1",7/29/09,"WL101","Bethesda Christian Life Church","NEWHANOVER","I-SHP","PKUP",927,115.92
"G09-01707-1",7/29/09,707,"Holy Temple Church","PITT","I-SHP","PKUP",937,104.04
"R09-04925-1",7/29/09,112,"Salvation Army-Raleigh","WAKE","I-SHP","PKUP",970,154.06
"S09-01699-1",7/29/09,1128,"Rockingham Spanish SDA Church","RICHMOND","I-SHP","PKUP",1076,13.32
"R09-04935-1",7/29/09,1087,"New Life Deliverance Ministry","JOHNSTON","I-SHP","PKUP",1077,75.96
"R09-04927-1",7/29/09,559,"Alliance of AIDS Services","WAKE","I-SHP","PKUP",1126,209.26
"R09-04933-1",7/29/09,1422,"Ministerio Bethel, Inc","LEE","I-SHP","PKUP",1146,57.54
"R09-04860-1",7/29/09,1652,"Caring Hearts Outreach","WAKE","I-SHP","PKUP",1185,90.74
"R09-04943-1",7/29/09,1181,"Praise Worship Tabernacle","WAKE","I-SHP","PKUP",1207,70.74
"R09-04930-1",7/29/09,1304,"Deliverance Church","HARNETT","I-TEFR","PKUP",1250,0
"R09-04946-1",7/29/09,607,"Islamic Association of Raleigh","WAKE","I-SHP","PKUP",1348,41.99
"R09-04929-1",7/29/09,814,"New Trinity Christian Family","JOHNSTON","I-TEFR","PKUP",1350,0
"S09-01693-1",7/29/09,178,"Sandhills Children's Center","MOORE","I-SHP","PKUP",1402,57.78
"R09-04950-1",7/29/09,133,"Urban Ministries of Wake","WAKE","I-SHP","PKUP",1418,453.55
"W09-01118-1",7/29/09,"WL388","County Wide C.D.C.","BRUNSWICK","I-SHP","PKUP",1428,12.96
"S09-01685-1",7/29/09,1209,"Prayer and Faith Temple Church","RICHMOND","I-DEL","BRN",1525,0
"G09-01708-1",7/29/09,1108,"Youth Empowerment Organization","PAMLICO","I-SHP","PKUP",1659,130.68
"S09-01686-1",7/29/09,1089,"Church of God of Prophecy","RICHMOND","I-SHP","PKUP",1665,37.57
"D09-02457-1",7/29/09,1071,"Fisher Memorial","DURHAM","I-SHP","PKUP",1788,0
"W09-01111-1",7/29/09,"WL215","Bethany Presbyterian Church","NEWHANOVER","I-SHP","PKUP",1915,57.42
"D09-02463-1",7/29/09,1275,"Asbury Temple United Methodist","DURHAM","I-SHP","PKUP",2037,218.14
"S09-01694-1",7/29/09,1154,"Moore Buddies","MOORE","I-SHP","PKUP",2061,26.64
"S09-01696-1",7/29/09,1302,"First United Methodist Church","RICHMOND","I-SHP","PKUP",2099,377.82
"R09-04899-1",7/29/09,587,"Community Chapel Church","NASH","I-TEFR","FBNC",2451,0
"S09-01697-1",7/29/09,1427,"Victory Deliverance Church of","RICHMOND","I-SHP","PKUP",2605,44.28
"D09-02459-1",7/29/09,1642,"RAM Organization","DURHAM","I-SHP","PKUP",2912,234.38
"S09-01690-1",7/29/09,1210,"Carthage United Methodist Ch.","MOORE","I-SHP","PKUP",3012,29.77
"W09-01114-1",7/29/09,"WL356","Love of Christ Ministries","BRUNSWICK","I-SHP","PKUP",3019,133.92
"W09-01113-1",7/29/09,"WL390","Pleasant Grove","BRUNSWICK","I-SHP","PKUP",3180,128.16
"S09-01692-1",7/29/09,1532,"Helping Hands of Hamlet","RICHMOND","I-TEFB","PKUP",3309,17.44
"R09-04931-1",7/29/09,1304,"Deliverance Church","HARNETT","I-SHP","PKUP",3656,5.8
"R09-04934-1",7/29/09,236,"Tarboro Community Outreach","EDGECOMBE","I-DLS","FBNC",4777,0
"S09-01684-1",7/29/09,1302,"First United Methodist Church","RICHMOND","I-DEL","BRN",5102,21.91
"R09-04923-1",7/29/09,848,"Community Helpers Service","WAKE","I-DLS","FBNC",5681,0
"R09-04922-1",7/29/09,1402,"Jackson Grove Bible Church of","SAMPSON","I-DLS","FBNC",5903,0
"R09-04938-1",7/29/09,12,"Catholic Parish Outreach","WAKE","I-SHP","PKUP",7188,452.58
"G09-01710-1",7/29/09,504,"River Of Life Christian/","LENOIR","I-SHP","PKUP",7544,0
"G09-01711-1",7/29/09,1463,"Christ Temple Holiness Church","PITT","I-SHP","PKUP",7544,0
"R09-04947-1",7/29/09,"DI060","Ivory Hill Baptist Church","HALIFAX","I-DLS","FBNC",7825,0
"R09-04936-1",7/29/09,1472,"Emmanuel Hispanic Pentecostal","WAKE","I-SHP","PKUP",8499,161.8
"R09-04831-1",7/30/09,1385,"St. Paul's Episcopal Church",,"I-TEFB","FBNC",0,0
"R09-04952-1",7/30/09,1644,"KC - The Mighty Tau, Inc.",,"I-DLS","FBNC",0,0
"R09-04974-1",7/30/09,"DI060","Ivory Hill Baptist Church",,"I-DLS","FBNC",0,0
"G09-01719-1",7/30/09,1347,"Hope of Glory Ministries, Inc.","PITT","I-SHP","PKUP",75,0
"G09-01722-1",7/30/09,1333,"Operation Sunshine, Inc","PITT","I-SHP","PKUP",77,13.86
"S09-01703-1",7/30/09,668,"Outreach for Jesus","RICHMOND","I-TEFB","PKUP",100,0
"G09-01726-1",7/30/09,113,"Holy Mission Church of God","EDGECOMBE","I-SHP","PKUP",109,16.28
"S09-01709-1",7/30/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",116,20.88
"W09-01127-1",7/30/09,"WL228","YWCA of Wilmington","NEWHANOVER","I-SHP","PKUP",135,13.5
"S09-01705-1",7/30/09,668,"Outreach for Jesus","RICHMOND","I-SHP","PKUP",160,28.8
"S09-01711-1",7/30/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",195,7.2
"D09-02471-1",7/30/09,20,"Durham Crisis Response Center","DURHAM","I-SHP","PKUP",199,22.68
"S09-01717-1",7/30/09,1456,"MANNA","MOORE","I-SHP","PKUP",199,0
"D09-02466-1",7/30/09,436,"Christian Assembly Emergency","DURHAM","I-SHP","PKUP",200,0
"G09-01716-1",7/30/09,1388,"South Greenville Church","PITT","I-SHP","PKUP",223,48.47
"S09-01702-1",7/30/09,1089,"Church of God of Prophecy","RICHMOND","I-TEFB","BRN",250,0
"S09-01707-1",7/30/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",252,16.2
"D09-02464-1",7/30/09,765,"Mt. Zion Christian Church/","VANCE","I-SHP","PKUP",291,33.8
"R09-04957-1",7/30/09,686,"Immanuel Temple SDA church","DURHAM","I-SHP","PKUP",304,20.46
"R09-04962-1",7/30/09,505,"Church Of God Of Prophecy","WAKE","I-SHP","PKUP",305,0
"G09-01720-1",7/30/09,1385,"St. Paul's Episcopal Church","PITT","I-SHP","PKUP",305,0
"G09-01723-1",7/30/09,1223,"Bibleway Church of God in","LENOIR","I-SHP","PKUP",323,53.82
"R09-04980-1",7/30/09,1486,"Williams Grove Baptist Church","WAKE","I-SHP","PKUP",333,67.5
"R09-04978-1",7/30/09,1234,"Progressive Teamwork Outreach","WAKE","I-SHP","PKUP",340,3.6
"G09-01727-1",7/30/09,1392,"B.V. Rhinehart Comm Dev Inc.","PITT","I-SHP","PKUP",345,24.66
"S09-01708-1",7/30/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",401,37.62
"D09-02468-1",7/30/09,75,"Inter-Faith Council/","ORANGE","I-SHP","PKUP",421,10.98
"D09-02472-1",7/30/09,614,"Friends of Orange County DSS","ORANGE","I-SHP","PKUP",462,15.72
"R09-04955-1",7/30/09,1508,"Community of Hope Ministries","WAKE","I-SHP","PKUP",514,31.9
"S09-01715-1",7/30/09,1437,"Salvation Army of Lee County","LEE","I-PKUP","PKUP",523,59.22
"R09-04959-1",7/30/09,467,"Christian Fellowship Home-","WAKE","I-SHP","PKUP",526,68.2
"G09-01717-1",7/30/09,269,"Wilson County Interfaith","WILSON","I-SHP","PKUP",558,100.44
"S09-01710-1",7/30/09,72,"RHA Health Services, Inc. -","MOORE","I-SHP","PKUP",567,45.36
"G09-01724-1",7/30/09,253,"Apostolic Deliverance","LENOIR","I-SHP","PKUP",616,56.56
"S09-01713-1",7/30/09,549,"Missions Ministries","SCOTLAND","I-TEFB","BRN",650,0
"R09-04956-1",7/30/09,1145,"Joseph's Hand","WAKE","I-SHP","PKUP",709,42.16
"W09-01126-1",7/30/09,"WL294","Trinity Tabernacle Full","BRUNSWICK","I-SHP","PKUP",724,108.19
"G09-01718-1",7/30/09,1569,"St. Peter the Fisherman","PAMLICO","I-SHP","PKUP",742,143.25
"W09-01125-1",7/30/09,"WL289","Wrightsboro United Methodist","NEWHANOVER","I-SHP","PKUP",772,110.03
"R09-04964-1",7/30/09,1104,"Angier Area Food Pantry","HARNETT","I-SHP","PKUP",788,66.1
"R09-04976-1",7/30/09,1112,"Transplant Recipient","WAKE","I-DLS","FBNC",804,0
"D09-02467-1",7/30/09,1246,"Rise and Shine Ministries","DURHAM","I-SHP","PKUP",826,65.68
"G09-01728-1",7/30/09,1621,"Progressive Action","PITT","I-SHP","PKUP",849,169.83
"R09-04960-1",7/30/09,1582,"Glory Cloud & Fire Ministries","FRANKLIN","I-SHP","PKUP",862,61.64
"S09-01706-1",7/30/09,668,"Outreach for Jesus","RICHMOND","I-SHP","PKUP",896,31.54
"D09-02469-1",7/30/09,1324,"Freedom House/ Durham Houses","DURHAM","I-SHP","PKUP",907,61.4
"R09-04968-1",7/30/09,424,"Bread Basket/Sanford Soup","LEE","I-SHP","PKUP",958,122.96
"D09-02465-1",7/30/09,436,"Christian Assembly Emergency","DURHAM","I-SHP","PKUP",1043,87.5
"W09-01124-1",7/30/09,"WL336","Ashley Center","NEWHANOVER","I-SHP","PKUP",1044,67.32
"G09-01725-1",7/30/09,1558,"East Coast Church, Inc.","CARTERET","I-SHP","PKUP",1085,180.5
"W09-01129-1",7/30/09,"WL318","Jesus Ministries","NEWHANOVER","I-SHP","PKUP",1118,129.52
"G09-01721-1",7/30/09,1243,"New Beginnings Christian Cente","ONSLOW","I-SHP","PKUP",1150,196.96
"R09-04969-1",7/30/09,1484,"Potter's House Outreach Center","JOHNSTON","I-SHP","PKUP",1200,131.7
"R09-04965-1",7/30/09,1130,"Emmaus House-Quality Concepts","WAYNE","I-SHP","PKUP",1310,81.63
"R09-04966-1",7/30/09,1156,"Child Evangelism Fellowship","WAKE","I-SHP","PKUP",1381,73.34
"R09-04961-1",7/30/09,1342,"White Oak Foundation","WAKE","I-SHP","PKUP",1386,98.19
"R09-04958-1",7/30/09,602,"Potter's Wheel Ministries","DUPLIN","I-SHP","PKUP",1449,107.36
"D09-02470-1",7/30/09,1338,"St. James of Durham","DURHAM","I-SHP","PKUP",1467,74.66
"W09-01122-1",7/30/09,"WL114","Mother Hubbard's Cupboard","NEWHANOVER","I-SHP","PKUP",1470,219.66
"D09-02475-1",7/30/09,1616,"Recovery Center of Durham","DURHAM","I-SHP","PKUP",1486,109.4
"D09-02474-1",7/30/09,1515,"The River","DURHAM","I-SHP","PKUP",1542,119.16
"R09-04972-1",7/30/09,1473,"Alpha & Omega","HARNETT","I-SHP","PKUP",1549,203.96
"S09-01704-1",7/30/09,1345,"Mission Agape","MOORE","I-SHP","PKUP",1622,120.6
"S09-01712-1",7/30/09,1405,"Grace Community Center -","MOORE","I-SHP","PKUP",1670,33.66
"D09-02473-1",7/30/09,935,"William Hawkins Yth Ministries","VANCE","I-SHP","PKUP",1675,0
"R09-04971-1",7/30/09,1657,"Rock Ministry Inc.","SAMPSON","I-SHP","PKUP",2375,114.37
"R09-05036-1",7/30/09,"PET01","Pet Distribution","WAKE","I-PET","PKUP",2550,0
"R09-04967-1",7/30/09,192,"Gethsemane 7th Day","WAKE","I-SHP","PKUP",2794,82.8
"S09-01714-1",7/30/09,549,"Missions Ministries","SCOTLAND","I-DEL",1312,3074,0
"R09-04973-1",7/30/09,1023,"Universal Church of Prayer","WAKE","I-SHP","PKUP",3172,250.62
"W09-01128-1",7/30/09,"WL297","Upper Room Praise &","NEWHANOVER","I-SHP","PKUP",3558,149.22
"S09-01716-1",7/30/09,280,"Sandhills - Moore Coalition","MOORE","I-SHP","PKUP",3880,43.2
"S09-01718-1",7/30/09,549,"Missions Ministries","SCOTLAND","I-DEL","BRN",4200,0
"W09-01123-1",7/30/09,"WL374","Harvest Table","COLUMBUS","I-DEL","BRN",5296,0
"R09-04954-1",7/30/09,848,"Community Helpers Service","WAKE","I-DLS","FBNC",5845,0
"S09-01701-1",7/30/09,1089,"Church of God of Prophecy","RICHMOND","I-DEL","BRN",7489,0
"R09-04963-1",7/30/09,344,"Western Wake Crisis Ministry","WAKE","I-TEFR","PKUP",9385,0
"R09-05037-1",7/30/09,"FB004","Second Harvest Metrolina",,"I-FBO",1307,39600,0
"D09-02528-1",7/31/09,920,"Haw River Baptist Church","CHATHAM","I-FLSH","FLSH",18,0
"S09-01724-1",7/31/09,516,"FirstHealth Hospice","MOORE","I-SHP","PKUP",30,5.4
"R09-05044-1",7/31/09,1678,"SFSP - Enfield Parks &","HALIFAX","I-DLS","FBNC",68,0
"R09-05045-1",7/31/09,1677,"SFSP - Scotland Neck Rec","HALIFAX","I-DLS","FBNC",101,0
"D09-02507-1",7/31/09,1275,"Asbury Temple United Methodist","DURHAM","I-FLSH","FLSH",113,0
"D09-02529-1",7/31/09,1026,"Addiction Recovery Center","VANCE","I-FLSH","FLSH",150,0
"D09-02530-1",7/31/09,1027,"Addiction Recovery Center","VANCE","I-FLSH","FLSH",162,0
"D09-02483-1",7/31/09,1275,"Asbury Temple United Methodist","DURHAM","I-SHP","PKUP",200,0
"W09-01141-1",7/31/09,"WL340","Holly Ridge Church of God","ONSLOW","I-FLSH","FLSH",200,0
"R09-04984-1",7/31/09,1505,"Wendell United Methodist","WAKE","I-SHP","PKUP",247,0
"D09-02509-1",7/31/09,1288,"Southside Church of Christ","DURHAM","I-FLSH","FLSH",292,0
"D09-02499-1",7/31/09,920,"Haw River Baptist Church","CHATHAM","I-FLSH","FLSH",310,0
"D09-02503-1",7/31/09,1026,"Addiction Recovery Center","VANCE","I-FLSH","FLSH",330,0
"R09-04996-1",7/31/09,1181,"Praise Worship Tabernacle","WAKE","I-SHP","PKUP",340,0
"D09-02480-1",7/31/09,"DHC013","Durham Housing/Liberty Street","DURHAM","I-SHP","PKUP",348,0
"R09-05043-1",7/31/09,1679,"SFSP - Hobgood Citizens Group","HALIFAX","I-DLS","FBNC",356,607.8
"R09-04999-1",7/31/09,1506,"Basic Needs Ministry","JOHNSTON","I-SHP","PKUP",374,0
"D09-02531-1",7/31/09,75,"Inter-Faith Council/","ORANGE","I-HTR","HTR",400,0
"R09-04993-1",7/31/09,1676,"SFSP - Concord Baptist Church","FRANKLIN","I-SHP","PKUP",424,754.5
"R09-05027-1",7/31/09,1175,"Hollister Reach","HALIFAX","I-FLSH","FLSH",440,0
"D09-02479-1",7/31/09,"DHC009","Durham House/McDougald Terrace","DURHAM","I-SHP","PKUP",460,0
"R09-05007-1",7/31/09,260,"Concerned Citizens Of Tillery","HALIFAX","I-FLSH","FLSH",538,0
"R09-04991-1",7/31/09,659,"Triangle Vineyard Christian","WAKE","I-SHP","PKUP",558,0
"S09-01727-1",7/31/09,596,"The Chapel of Jesus Christ","HOKE","I-SHP","PKUP",566,28.62
"S09-01723-1",7/31/09,1579,"Word of Truth Christian Center","MOORE","I-SHP","PKUP",589,120.35
"G09-01803-1",7/31/09,269,"Wilson County Interfaith","WILSON","I-FLSH","FLSH",590,0
"D09-02478-1",7/31/09,"DHC019","Hyde Park Section 8 Housing","DURHAM","I-SHP","PKUP",605,0
"G09-01814-1",7/31/09,1312,"Branch Memorial Tabernacle","WILSON","I-FLSH","FLSH",625,0
"G09-01806-1",7/31/09,438,"Victory Deliverance Ctr","PITT","I-FLSH","FLSH",653,0
"D09-02476-1",7/31/09,"DI080","DI Durham PATH Program","DURHAM","I-SHP","PKUP",665,0
"R09-04989-1",7/31/09,1045,"Word of God Fellowship","WAKE","I-SHP","PKUP",689,0
"R09-05000-1",7/31/09,10,"Care and Share, Inc.","FRANKLIN","I-FLSH","FLSH",700,0
"S09-01720-1",7/31/09,1267,"Highfalls United Methodist","MOORE","I-SHP","PKUP",741,98.96
"R09-05032-1",7/31/09,1402,"Jackson Grove Bible Church of","SAMPSON","I-FLSH","FLSH",774,0
"D09-02481-1",7/31/09,"DI082","DI Durham-Jehovah's Healing","DURHAM","I-SHP","PKUP",803,0
"D09-02490-1",7/31/09,497,"Belton Creek Baptist Church","GRANVILLE","I-FLSH","FLSH",805,0
"W09-01138-1",7/31/09,"WL281","South Brunswick Inter-Church","BRUNSWICK","I-FLSH","FLSH",811,0
"R09-04997-1",7/31/09,1590,"W.E.B. Dubois CDC","WAKE","I-SHP","PKUP",866,0
"D09-02477-1",7/31/09,"DI081","DI Durham --Pinecrest Apts","DURHAM","I-SHP","PKUP",903,0
"D09-02493-1",7/31/09,614,"Friends of Orange County DSS","ORANGE","I-FLSH","FLSH",935,0
"R09-04988-1",7/31/09,132,"Upper Room Church of God","WAKE","I-SHP","PKUP",950,0
"D09-02504-1",7/31/09,1027,"Addiction Recovery Center","VANCE","I-FLSH","FLSH",1031,0
"D09-02482-1",7/31/09,1674,"Asbury Temple United Methodist","DURHAM","I-SHP","PKUP",1055,0
"G09-01819-1",7/31/09,1610,"KC - Heartworks Children's","PAMLICO","I-FLSH","FLSH",1084,0
"D09-02508-1",7/31/09,1275,"Asbury Temple United Methodist","DURHAM","I-FLSH","FLSH",1085,0
"R09-04986-1",7/31/09,1472,"Emmanuel Hispanic Pentecostal","WAKE","I-TEFR","PKUP",1100,0
"G09-01815-1",7/31/09,1392,"B.V. Rhinehart Comm Dev Inc.","PITT","I-FLSH","FLSH",1114,0
"R09-05002-1",7/31/09,853,"Trinity United Faith Center","WAKE","I-SHP","PKUP",1159,0
"R09-04987-1",7/31/09,1472,"Emmanuel Hispanic Pentecostal","WAKE","I-SHP","PKUP",1162,0
"R09-04990-1",7/31/09,1467,"Christians United Outreach","LEE","I-SHP","PKUP",1187,0
"G09-01804-1",7/31/09,277,"Martha's Mission Cupboard","CARTERET","I-FLSH","FLSH",1230,0
"G09-01816-1",7/31/09,1562,"Memorial Baptist Church","PITT","I-FLSH","FLSH",1240,0
"R09-04992-1",7/31/09,1652,"Caring Hearts Outreach","WAKE","I-SHP","PKUP",1275,0
"S09-01725-1",7/31/09,560,"House of Prayer/Feed My People","RICHMOND","I-SHP","PKUP",1312,47.08
"R09-05015-1",7/31/09,686,"Immanuel Temple SDA church","DURHAM","I-FLSH","FLSH",1320,0
"R09-05031-1",7/31/09,1397,"God's Vision Ministries","FRANKLIN","I-FLSH","FLSH",1363,0
"D09-02496-1",7/31/09,686,"Immanuel Temple SDA church","DURHAM","I-FLSH","FLSH",1370,0
"S09-01726-1",7/31/09,1319,"New Beginnings Holiness Church","MOORE","I-SHP","PKUP",1399,184.04
"G09-01810-1",7/31/09,951,"White Oak Ecumenical","ONSLOW","I-FLSH","FLSH",1410,0
"S09-01729-1",7/31/09,1158,"Avery Chapel FWB Church","HOKE","D-BRN","BRN",1425,0
"D09-02510-1",7/31/09,1290,"Upon This Rock","GRANVILLE","I-FLSH","FLSH",1450,0
"R09-05001-1",7/31/09,12,"Catholic Parish Outreach","WAKE","I-FLSH","FLSH",1480,0
"G09-01735-1",7/31/09,613,"First Born Comm. Dev. Ctr.","PITT","I-PKUP","PKUP",1500,0
"G09-01734-1",7/31/09,773,"Antioch United Holy Church","PITT","I-MFP","MFP",1500,0
"D09-02502-1",7/31/09,998,"Alliance of AIDS Services-","DURHAM","I-FLSH","FLSH",1510,0
"R09-05035-1",7/31/09,"DI034","Direct Distribution --NASH","NASH","I-FLSH","FLSH",1550,0
"R09-05023-1",7/31/09,1078,"Merry Oaks Baptist Church","CHATHAM","I-FLSH","FLSH",1555,0
"R09-05020-1",7/31/09,859,"Shiloh Missionary Baptist Ch","HALIFAX","I-FLSH","FLSH",1575,0
"W09-01134-1",7/31/09,"WL185","Tileston Outreach","NEWHANOVER","I-FLSH","FLSH",1600,0
"D09-02497-1",7/31/09,708,"First Baptist Church","GRANVILLE","I-FLSH","FLSH",1656,0
"G09-01817-1",7/31/09,1569,"St. Peter the Fisherman","PAMLICO","I-FLSH","FLSH",1721,0
"D09-02486-1",7/31/09,47,"ACTS/Henderson","VANCE","I-FLSH","FLSH",1964,0
"D09-02487-1",7/31/09,165,"Shiloh Baptist Church","VANCE","I-FLSH","FLSH",1999,0
"S09-01721-1",7/31/09,1211,"Southern Pines UMC","MOORE","I-SHP","PKUP",2019,248.95
"D09-02488-1",7/31/09,413,"Chatham Out-Reach Alliance","CHATHAM","I-FLSH","FLSH",2049,0
"D09-02505-1",7/31/09,1050,"Brookston Baptist Church","VANCE","I-FLSH","FLSH",2069,0
"R09-05028-1",7/31/09,1282,"Outreach Community Center Inc.","EDGECOMBE","I-FLSH","FLSH",2110,0
"R09-05022-1",7/31/09,906,"Family Life Center, Inc.","JOHNSTON","I-FLSH","FLSH",2198,0
"D09-02491-1",7/31/09,507,"Big Ruin Creek Baptist","VANCE","I-FLSH","FLSH",2301,0
"R09-04983-1",7/31/09,236,"Tarboro Community Outreach","EDGECOMBE","I-DLS","PKUP",2355,0
"D09-02495-1",7/31/09,680,"Cotton Memorial Presbyterian","VANCE","I-FLSH","FLSH",2475,0
"R09-05003-1",7/31/09,27,"Day by Day Treatment Center","JOHNSTON","I-FLSH","FLSH",2505,0
"R09-05034-1",7/31/09,1584,"Glad Tiding Church, Inc.","HARNETT","I-FLSH","FLSH",2584,0
"S09-01728-1",7/31/09,560,"House of Prayer/Feed My People","RICHMOND","I-SHP","PKUP",2656,0
"R09-05024-1",7/31/09,1081,"Lake Gaston Baptist Church","WARREN","I-FLSH","FLSH",2704,0
"R09-05010-1",7/31/09,377,"D.A.P.A.A. INC.","JOHNSTON","I-FLSH","FLSH",2715,0
"D09-02500-1",7/31/09,934,"Urban Ministries of Durham","DURHAM","I-FLSH","FLSH",2735,0
"D09-02489-1",7/31/09,436,"Christian Assembly Emergency","DURHAM","I-FLSH","FLSH",2776,0
"R09-04994-1",7/31/09,1121,"Church on the Rock- Assembly","NASH","I-DLS","FBNC",2780,0
"R09-05021-1",7/31/09,877,"Loaves and Fishes","WARREN","I-FLSH","FLSH",2844,0
"S09-01719-1",7/31/09,134,"Page United Methodist Church","MOORE","I-SHP","PKUP",3128,346.16
"R09-04995-1",7/31/09,1121,"Church on the Rock- Assembly","NASH","I-TEFR","PKUP",3250,0
"R09-05033-1",7/31/09,1467,"Christians United Outreach","LEE","I-FLSH","FLSH",3292,0
"R09-05030-1",7/31/09,1339,"Franklin County Volunteers in","FRANKLIN","I-FLSH","FLSH",3424,0
"G09-01805-1",7/31/09,395,"Brown's New Approach To Living","PITT","I-FLSH","FLSH",3486,0
"W09-01132-1",7/31/09,"WL143","St. Brendans Catholic Church","BRUNSWICK","I-FLSH","FLSH",3520,0
"W09-01142-1",7/31/09,"WL344","Believers Home Fellowship","COLUMBUS","I-FLSH","FLSH",3525,0
"D09-02501-1",7/31/09,943,"Pentecostal Victory Temple","CHATHAM","I-FLSH","FLSH",3615,0
"G09-01818-1",7/31/09,1577,"Project Anna, Inc.","PITT","I-FLSH","FLSH",3722,0
"R09-05014-1",7/31/09,585,"Shiloh Christian Day Care","JOHNSTON","I-FLSH","FLSH",3742,0
"D09-02511-1",7/31/09,"DI084","Carr UMC","ORANGE","I-DEL","BRN",3969,0
"D09-02484-1",7/31/09,35,"Durham Rescue Mission","DURHAM","I-FLSH","FLSH",4002,0
"W09-01131-1",7/31/09,"WL125","Stepping Stone Manor","NEWHANOVER","I-FLSH","FLSH",4036,0
"G09-01801-1",7/31/09,109,"Salvation Army-Jacksonville","ONSLOW","I-FLSH","FLSH",4050,0
"R09-04998-1",7/31/09,848,"Community Helpers Service","WAKE","I-SHP","PKUP",4070,0
"G09-01811-1",7/31/09,1207,"St. Paul Church of Christ/","WILSON","I-FLSH","FLSH",4277,0
"R09-05026-1",7/31/09,1087,"New Life Deliverance Ministry","JOHNSTON","I-FLSH","FLSH",4435,0
"W09-01136-1",7/31/09,"WL269","Brunswick Island Baptist","BRUNSWICK","I-FLSH","FLSH",4606,0
"D09-02512-1",7/31/09,"DI051","Piney Grove Baptist Church","ORANGE","I-DEL","BRN",4662,0
"D09-02492-1",7/31/09,612,"Alston Chapel United Holy","CHATHAM","I-FLSH","FLSH",5154,0
"R09-05018-1",7/31/09,775,"Bread of Life","WAKE","I-FLSH","FLSH",5383,0
"R09-05029-1",7/31/09,1325,"New Elders Chapel","DUPLIN","I-FLSH","FLSH",5412,0
"G09-01800-1",7/31/09,107,"Salvation Army-Greenville","PITT","I-FLSH","FLSH",5536,0
"R09-05005-1",7/31/09,159,"Smithfield Rescue Mission","JOHNSTON","I-FLSH","FLSH",5650,0
"G09-01730-1",7/31/09,1624,"Love Ministries Church (LMC)","PITT","I-MFP","MFP",5825,0
"W09-01133-1",7/31/09,"WL144","Brunswick Family Assistance","BRUNSWICK","I-FLSH","FLSH",6102,0
"R09-05025-1",7/31/09,1085,"With Love From Jesus Ministry","WAKE","I-FLSH","FLSH",6110,0
"D09-02506-1",7/31/09,1115,"Abundant Life Church/","ORANGE","I-FLSH","FLSH",6245,0
"S09-01722-1",7/31/09,470,"Montgomery Churches in Action/","MONTGOMERY","I-SHP","PKUP",6313,215.29
"D09-02498-1",7/31/09,838,"Word of Life Christian Center","PERSON","I-FLSH","FLSH",6373,0
"G09-01812-1",7/31/09,1223,"Bibleway Church of God in","LENOIR","I-FLSH","FLSH",6697,0
"D09-02485-1",7/31/09,38,"Area Congregations in Ministry","GRANVILLE","I-FLSH","FLSH",6723,0
"W09-01137-1",7/31/09,"WL273","Livingstones Tabernacle","PENDER","I-FLSH","FLSH",6946,0
"G09-01813-1",7/31/09,1291,"Vanceboro Christian Help Cente","CRAVEN","I-FLSH","FLSH",7125,0
"R09-05019-1",7/31/09,848,"Community Helpers Service","WAKE","I-FLSH","FLSH",7181,0
"R09-05006-1",7/31/09,236,"Tarboro Community Outreach","EDGECOMBE","I-FLSH","FLSH",7194,0
"D09-02494-1",7/31/09,669,"CAARE, Inc.","DURHAM","I-FLSH","FLSH",7249,0
"G09-01729-1",7/31/09,236,"Tarboro Community Outreach","EDGECOMBE","I-MFP","MFP",7516,0
"R09-05004-1",7/31/09,128,"Union Mission","HALIFAX","I-FLSH","FLSH",7680,0
"R09-04981-1",7/31/09,1085,"With Love From Jesus Ministry","WAKE","I-DLS","PKUP",7945,0
"R09-04982-1",7/31/09,546,"Hobgood Citizens Group","HALIFAX","I-DLS","PKUP",7970,0
"R09-05012-1",7/31/09,424,"Bread Basket/Sanford Soup","LEE","I-FLSH","FLSH",8283,0
"R09-05017-1",7/31/09,720,"Recruiters for Christ Church","HARNETT","I-FLSH","FLSH",8405,0
"R09-05011-1",7/31/09,419,"New Jerusalem Pentecostal","EDGECOMBE","I-FLSH","FLSH",8516,0
"R09-05013-1",7/31/09,533,"Faith Baptist Church/","FRANKLIN","I-FLSH","FLSH",9256,0
"G09-01807-1",7/31/09,503,"Ministries of the Bread of","GREENE","I-FLSH","FLSH",10001,0
